Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle ▾
2016,Trevor Davis,California,WR,73.13,188,10,31,,4.42,11,38.5,124,4.22,6.6,10.94
2016,Josh Doctson,Texas Christian,WR,74,202,9.88,31.88,,4.5,14,41,131,4.08,6.84,11.06
2016,D.J. Foster,Arizona State,WR,70.25,193,9.25,30.5,,4.57,14,35.5,117,4.07,6.75,11.12
2016,Devin Fuller,UCLA,WR,72,194,9.5,30.5,,4.39,,36,124,4.07,7.03,
2016,Will Fuller,Notre Dame,WR,72.13,186,8.25,30.75,,4.32,10,33.5,126,4.27,6.93,11.44
2016,Keyarris Garrett,Tulsa (OK),WR,75.38,220,9,34.5,,4.53,14,36.5,128,4.33,7.3,11.72
2016,Jakeem Grant,Texas Tech,WR,65.88,165,8.63,29.75,,4.37,15,36.5,117,4.03,7.03,
2016,Rashard Higgins,Colorado State,WR,73.38,196,9.75,32.25,,4.64,13,32,116,4.52,7.19,
2016,Tyreek Hill,West Alabama,WR,68.13,185,8,30.5,,4.29,13,40.5,129,4.06,6.53,
2016,Johnny Holton,Cincinnati,WR,72.63,190,9.88,32.88,,4.54,8,31.5,123,4.2,6.9,
2016,Daje Johnson,Texas,WR,68.38,184,8.88,27.875,,4.48,18,38,122,,,
2016,Marcus Johnson,Texas,WR,72.88,204,9.25,31.875,,4.39,22,37,135,4.39,7.26,
2016,Cayleb Jones,Arizona,WR,74.63,209,9.25,32.75,,4.65,9,33.5,112,4.14,6.99,11.46
2016,Malachi Jones,Appalachian State (NC),WR,73.75,211,9.63,32.25,,4.53,14,37.5,125,4.3,6.9,
2016,Kenny Lawler,California,WR,74.5,203,10.5,33.38,,4.64,,31,111,4.2,7.13,11.28
2016,Roger Lewis,Bowling Green (OH),WR,72.38,201,9.75,32,,4.57,8,33.5,116,4.45,7.58,
2016,Kolby Listenbee,Texas Christian,WR,72,197,8.25,31.38,,4.39,15,35.5,129,,,
2016,Ricardo Louis,Auburn,WR,73.75,215,9.5,32.38,,4.43,18,38,132,4.32,7.07,
2016,Devin Lucien,Arizona State,WR,72.5,201,10.13,31.875,,4.49,13,34.5,117,4.3,6.93,
2016,Byron Marshall,Oregon,WR,69.38,201,9.5,30.25,,4.56,17,29.5,111,4.19,6.99,
2016,Jalin Marshall,Ohio State,WR,70.5,200,9.63,31.5,,4.6,16,37.5,125,4.13,6.8,
2016,Mitch Mathews,Brigham Young,WR,77.63,222,10.38,32.75,,4.49,12,36,129,4.25,6.99,
2016,KJ Maye,Minnesota,WR,68.13,191,8.25,30.5,,4.61,10,33,113,4.35,7.18,
2016,Mekale McKay,Cincinnati,WR,75.63,207,9.5,30.63,,4.55,12,35,123,4.63,7.08,11.89
2016,Jaydon Mickens,Washington,WR,69.88,174,9,28.875,,4.54,13,35.5,121,3.93,6.62,
2016,Braxton Miller,Ohio State,WR,73.38,201,9.13,31.75,,4.5,17,35,123,4.07,6.65,10.84
2016,Malcolm Mitchell,Georgia,WR,71.63,198,10.5,32.63,,4.45,15,36,129,4.34,6.94,
2016,Chris Moore,Cincinnati,WR,73,206,9.38,33.38,,4.53,10,37,130,4.2,6.76,11.37
2016,Joe Morrow,Mississippi State,WR,75.63,211,8.63,33.875,,,,,,,,
2016,Durron Neal,Oklahoma,WR,71,194,9.25,30.5,,4.54,13,32.5,121,4.46,7.22,
2016,Dennis Norfleet,Tuskegee (AL),WR,66.25,159,8.5,27.5,,4.64,,30.5,115,4.32,6.77,
2016,Marquez North,Tennessee,WR,74.5,223,10.25,33.38,,4.48,17,35,123,4.13,6.9,
2016,Jordan Payton,UCLA,WR,73.13,207,10.13,32.5,,4.47,,34.5,121,4.33,7.08,
2016,Charone Peake,Clemson,WR,74.38,209,9.25,34,,4.45,12,35.5,122,4.46,6.96,11.69
2016,Latroy Pittman,Florida,WR,70.88,207,10,32.25,,4.69,14,29,103,4.75,7.28,
2016,Darius Powe,California,WR,74.88,220,9,33.5,,4.49,17,34.5,120,4.29,6.94,
2016,Demarcus Robinson,Florida,WR,73.38,203,9.5,33,,4.59,9,34.5,123,4.19,6.77,
2016,Devonte Robinson,Utah State,WR,73.25,188,8.88,30.25,,4.33,,38,128,4.38,7.33,
2016,Alonzo Russell,Toledo,WR,75.63,206,9.5,33.88,,4.54,12,29.5,112,4.33,7.18,11.88
2016,Rashawn Scott,Miami (FL),WR,72.88,199,9.38,31.38,,4.54,17,32.5,116,4.33,6.88,
2016,Canaan Severin,Virginia,WR,74.13,212,9.75,33.125,,,,,,,,
2016,Hunter Sharp,Utah State,WR,71.5,198,9.38,31.63,,4.58,12,32.5,116,4.19,7.12,11.4
2016,Tajae Sharpe,Massachusetts,WR,74,194,8.38,32.25,,4.55,11,33.5,114,,,
2016,Sterling Shepard,Oklahoma,WR,70.25,194,9.75,30.38,,4.48,20,41,123,4.35,7,
2016,Brandon Shippen,Temple,WR,70.63,195,9,30.375,,4.55,17,31.5,117,4.2,6.76,
2016,Nelson Spruce,Colorado,WR,73.13,206,10,30,,4.69,12,35,114,4.2,7.09,11.9
2016,Michael Thomas,Ohio State,WR,74.75,212,10.5,32.13,,4.57,18,35,126,4.13,6.8,11.7
2016,Mike Thomas,Southern Mississippi,WR,73.25,193,9.38,31.375,,4.54,16,36,126,4.26,7.06,
2016,Laquon Treadwell,Mississippi,WR,74,221,9.5,33.38,,4.64,12,33,117,4.3,7.04,
2016,Bryce Treggs,California,WR,71.38,190,9.13,30.875,,4.39,16,34,122,4.19,7,
2016,Damien Washington,North Carolina,WR,71.88,190,9,31.625,,4.47,16,35,122,4.31,6.82,
2016,Herb Waters,Miami (FL),WR,71.75,188,9.25,32.625,,4.51,14,38.5,121,4.1,6.73,
2016,Andrew Williams,Youngstown State (OH),WR,74.63,191,9.88,31.5,,4.67,13,38.5,126,4.32,7.13,
2016,Duke Williams,Auburn,WR,74.25,229,9.25,32.5,,4.72,14,30,121,4.47,7.43,
2016,DeRunnya Wilson,Mississippi State,WR,76.63,224,9.25,33.88,,4.85,13,28,113,4.52,7.21,
2015,Nelson Agholor,Southern California,WR,72.13,198,9.25,32.25,,4.42,12,36.5,125,4.34,6.83,
2015,Mario Alford,West Virginia,WR,68.5,180,9.38,31.25,,4.43,13,34,121,4.07,6.64,11.22
2015,Dres Anderson,Utah,WR,73.13,187,9.38,31.63,,4.53,13,,121,4.22,6.83,
2015,DeJuan Beard,Washburn (KS),WR,73,195,,,,4.56,,,,,,
2015,Kenny Bell,Nebraska,WR,73.13,197,9.25,31.63,,4.42,7,41.5,129,4.15,6.66,11.6
2015,Michael Bennett,Georgia,WR,73.63,202,10.25,33.63,,4.59,,,,,,
2015,Da'Ron Brown,Northern Illinois,WR,72.13,205,10.25,32,,4.54,17,37,120,4.11,7.04,
2015,Damiere Byrd,South Carolina,WR,69.25,162,8,29.875,,4.39,13,42,131,4.09,6.59,
2015,DeAndre Carter,Sacramento State (CA),WR,68.5,186,8.75,30.625,,4.48,17,38.5,126,3.8,6.64,
2015,Marquez Clark,Central Oklahoma,WR,70.25,190,10,32,,4.58,12,34,124,4.23,7.07,
2015,Kaelin Clay,Utah,WR,69.63,195,9,30.88,,4.51,10,33,113,4.26,6.97,
2015,Sammie Coates,Auburn,WR,73.38,212,9.38,33.38,14,4.43,23,41,131,4.06,6.98,11.81
2015,Chris Conley,Georgia,WR,73.88,213,9.88,33.75,,4.35,18,45,139,4.3,7.06,11.65
2015,Kenny Cook,Gardner-Webb (NC),WR,75.38,215,10.38,34.5,,4.56,12,33,120,4.37,7.13,
2015,Amari Cooper,Alabama,WR,72.88,211,10,31.5,21,4.42,,33,120,3.98,6.71,
2015,Jamison Crowder,Duke,WR,68.38,185,8.75,30.38,,4.56,10,37,115,4.32,7.17,
2015,DaVaris Daniels,Notre Dame,WR,73.5,201,9,31.25,,4.62,13,37,122,4.35,6.81,
2015,Andre Davis,South Florida,WR,72.88,207,9.5,34,,4.55,,32,118,4.33,7.09,
2015,Devante Davis,Nevada Las Vegas,WR,74.88,220,9.5,32.38,,4.57,16,35.5,115,4.12,7.25,11.6
2015,Geremy Davis,Connecticut,WR,74.38,216,9.5,32.25,,4.58,23,36.5,124,4.18,6.86,11.28
2015,Titus Davis,Central Michigan,WR,72.75,196,8.25,29.63,,4.51,,32.5,119,4.28,7.14,
2015,Andre Debose,Florida,WR,71.63,190,8.63,32.25,,4.49,12,37.5,123,4.09,6.93,
2015,Stefon Diggs,Maryland,WR,72,195,10,31.25,,4.46,11,35,115,4.32,7.03,
2015,Phillip Dorsett,Miami (FL),WR,69.75,185,9.38,30.25,,4.33,13,37,122,4.11,6.7,
2015,Quinton Dunbar,Florida,WR,73.63,195,9.5,32.625,,4.44,7,35,120,4.16,7.1,
2015,Lemar Durant,Simon Fraser (Canada),WR,73.63,231,10,31.125,,4.59,27,37,117,4.56,7.18,
2015,George Farmer,Southern California,WR,72.75,220,8.63,33,,4.38,19,34.5,123,4.27,7,
2015,Clay Fuller,Baylor,WR,73,210,,,,4.55,,,,,,
2015,Devin Funchess,Michigan,WR,76.25,232,9.75,33.5,,4.7,17,38.5,122,4.48,6.98,
2015,Devin Gardner,Michigan,WR,75.5,217,9.5,33.125,,4.62,15,35.5,117,4.42,6.96,
2015,Keyarris Garrett,Tulsa (OK),WR,75,206,9,34.5,,4.64,14,36.5,128,4.33,7.3,11.72
2015,Antwan Goodley,Baylor,WR,70.25,209,9.25,30.75,,4.44,,35,127,4.38,7.19,
2015,Christian Green,Florida State,WR,72.75,196,9,31.25,,4.54,16,34,122,4.45,7.04,
2015,Dorial Green-Beckham,Oklahoma,WR,77.13,237,9,32.5,20,4.49,13,33.5,119,4.45,6.89,11.89
2015,Deontay Greenberry,Houston,WR,73,198,9.5,31.25,,4.64,21,35.5,116,4.31,7.23,
2015,Rashad Greene,Florida State,WR,71.38,182,9,31.63,24,4.53,,36.5,122,4.12,6.88,
2015,Rannell Hall,Central Florida,WR,72.38,198,8.63,30.5,,4.6,16,41,132,4.15,6.86,
2015,Justin Hardy,East Carolina (NC),WR,70.25,192,10,32.13,,4.56,11,36.5,114,4.21,6.63,
2015,Chris Harper,California,WR,70.75,176,9.13,31.875,,4.53,11,35,120,4.36,7.03,
2015,Josh Harper,Frenso State (CA),WR,72.88,191,8.75,30.88,,4.64,13,32,108,4.36,7.15,12.26
2015,R.J. Harris,New Hampshire,WR,71.88,191,9.13,33.125,,4.68,18,37.5,127,4.2,7.23,
2015,Nick Harwell,Kansas,WR,71.25,193,9.63,30.125,,4.57,9,34.5,123,4.2,6.73,
2015,Austin Hill,Arizona,WR,74.13,214,9.75,31.625,,4.59,17,36.5,121,4.11,6.72,
2015,Anthony Johnson,West Texas A&M,WR,73.75,194,10.38,33,,4.56,20,24.5,102,4.83,7.93,
2015,Vernon Johnson,Texas A&M-Commerce,WR,72,188,9.75,31.375,,4.47,18,37,127,4.47,7.37,
2015,Chris Jones,Alabama,WR,70.13,182,9,32.75,,4.63,8,32.5,119,4.19,6.91,
2015,Tebucky Jones,Fordham (NY),WR,71,197,,,,4.53,,,,,,
2015,Tony Jones,Northwestern,WR,71.38,197,8.88,30.75,,4.42,,,,,,
2015,Malcome Kennedy,Texas A&M,WR,71.25,207,9.75,31.25,,4.57,10,31.5,119,4.26,7.1,
2015,Nigel King,Kansas,WR,74.13,213,9.5,31.625,,4.57,15,39.5,128,4.38,,
2015,Jake Kumerow,Wisconsin-Whitewater,WR,76.5,209,9.5,31.875,,4.54,15,31,113,4.26,6.9,
2015,Dez Lewis,Central Arkansas,WR,75.75,214,9.88,32.5,,4.58,16,33.5,119,4.28,7.11,
2015,Jameon Lewis,Mississippi State,WR,68.25,184,9.25,29.25,,4.57,11,29,110,4.43,7.21,
2015,Tony Lippett,Michigan State,WR,74.5,192,9.88,32.75,,4.61,10,36,114,4.13,6.92,11.44
2015,Tyler Lockett,Kansas State,WR,69.88,182,8.38,30,,4.4,,35.5,121,4.07,6.89,11.14
2015,Deon Long,Maryland,WR,71.63,192,9.5,31,,4.51,12,34,120,4.27,6.98,
2015,Keanon Lowe,Oregon,WR,68.88,186,8.75,30.375,,4.46,10,35.5,108,4.33,6.94,
2015,Donatella Luckett,Harding (AR),WR,71.75,211,9.25,31,,4.65,17,34,118,4.5,7.51,
2015,Kevonte Martin-Manley,Iowa,WR,72.13,205,9.38,32.125,,4.56,,35.5,124,4.21,6.94,
2015,Vince Mayle,Washington State,WR,74,224,9,31.75,,4.67,,35.5,117,4.13,6.93,
2015,Tre McBride,William & Mary (VA),WR,72.25,210,9,32.13,,4.41,16,38,122,4.08,6.96,11.7
2015,Justin McCay,Kansas,WR,74.13,210,9,33.25,,4.54,12,33,113,4.58,7.33,
2015,Matt Miller,Boise State,WR,74.88,220,8.88,32.5,,4.79,9,34,114,4.43,7.12,
2015,Matt Milton,Louisville,WR,77.38,205,8.88,34,,4.62,16,36,126,4.53,6.92,
2015,Ty Montgomery,Stanford,WR,71.88,221,10.13,31,,4.55,16,40.5,121,4.21,6.97,11.57
2015,Keith Mumphery,Michigan State,WR,71.63,215,9.13,31.13,,4.54,15,32.5,121,4.25,7.07,
2015,J.J. Nelson,Alabama-Birmingham,WR,70.25,156,8.25,31.13,,4.28,,36,127,4.15,7.02,11.89
2015,Levi Norwood,Baylor,WR,72.5,193,9.63,30.875,,4.52,,34.5,123,4.19,6.78,
2015,DeVante Parker,Louisville,WR,74.63,209,9.25,33.25,15,4.45,17,36.5,125,,,
2015,Breshad Perriman,Central Florida,WR,74,212,9.25,32,,4.52,18,36.5,127,,,
2015,Shakim Phillips,Boston College,WR,73,206,9.5,32.375,,4.42,17,39,127,4.33,6.97,
2015,Kyle Prater,Northwestern,WR,77.13,228,10.38,33.25,,4.58,20,31,121,4.24,7.07,
2015,Addison Richards,Regina (Canada),WR,76.38,209,8.25,30.5,,4.67,,,,,,
2015,Jamal Robinson,Louisiana-Lafayette,WR,75,205,,,,4.57,,,,,,
2015,Ezell Ruffin,San Diego State,WR,71.63,218,8.75,31.13,,4.68,17,27.5,110,4.58,7.35,12.59
2015,Dominic Rufran,Wyoming,WR,71.5,188,9.13,30.5,,4.55,18,33.5,121,4.29,7.21,
2015,Bud Sasser,Missouri,WR,74.63,210,10.13,33,,4.62,18,34.5,120,4.38,6.88,
2015,Ross Scheuerman,Lafayette (PA),WR,71.88,204,8.75,30,,4.62,15,33,121,4.11,7.08,11.4
2015,Dawon Scott,Miami (OH),WR,71,194,,,,4.54,,,,,,
2015,Jaxon Shipley,Texas,WR,72.13,193,9.25,30.875,,4.54,10,35.5,128,4.37,6.82,
2015,Tommy Shuler,Marshall (WV),WR,67,188,,,,4.68,,,,,,
2015,DeAndre Smelter,Georgia Tech,WR,74.13,226,11,32.63,,4.58,,,,,,
2015,Devin Smith,Ohio State,WR,72.38,196,9,31,,4.42,10,39,122,4.15,6.83,
2015,Evan Spencer,Ohio State,WR,73.38,208,10.13,31.875,,4.54,20,35,124,4.29,7.03,
2015,Neal Sterling,Monmouth (NJ),WR,75.38,238,9.63,33.125,,4.63,16,35.5,116,4.25,7.07,
2015,Jaelen Strong,Arizona State,WR,74.38,217,9,32.5,22,4.44,,42,123,4.21,7.34,
2015,Tacoi Sumler,Appalachian State (NC),WR,67.63,175,9.25,29.375,,4.42,13,33,118,4.4,6.96,
2015,Jordan Taylor,Rice (TX),WR,76.38,204,9.25,32.75,,4.54,9,36.5,122,4.46,6.69,
2015,Darren Waller,Georgia Tech,WR,78.13,238,9,33.25,,4.46,12,37,125,4.25,7.07,11.35
2015,Jarrod West,Syracuse,WR,73.88,209,10.25,30.75,,4.53,19,35.5,122,4.19,7.06,
2015,Brandon White,San Diego,WR,74.13,205,,,,,,,,,,
2015,Darius White,Missouri,WR,75,208,9.38,31.75,,4.56,13,37.5,124,4.59,7.12,
2015,DeAndrew White,Alabama,WR,71.5,193,9.13,31,,4.44,,34.5,118,4.18,6.97,
2015,Kevin White,West Virginia,WR,74.63,215,9.25,32.63,,4.35,23,36.5,123,4.14,6.92,11.52
2015,Jackie Williams,Central Florida,WR,69.63,190,9.13,31.25,,4.59,17,39.5,129,4.34,6.58,
2015,Kasen Williams,Washington,WR,73.5,219,9.25,32.625,,4.54,17,35.5,119,4.47,7.05,
2015,Tyrell Williams,Western Oregon,WR,75.5,204,9.88,33.5,,4.43,,39.5,127,4.17,6.74,
2015,Demetrius Wilson,Arkansas,WR,73.38,185,9.25,31,,4.49,4,35,124,4.34,6.65,
2015,Cam Worthy,East Carolina (NC),WR,74.25,211,10.13,33.5,,4.59,12,,,,,
2015,J.J. Worton,Central Florida,WR,73,209,9.88,30.75,,4.63,,,,,,
2015,Shane Wynn,Indiana,WR,66,167,8.88,29.5,,4.38,13,36,120,4.25,6.89,
2014,Jared Abbrederis,Wisconsin,WR,73,195,9.63,31.38,32,4.5,4,30.5,116,4.08,6.8,11.39
2014,Davante Adams,Frenso State (CA),WR,72.88,212,9,32.63,,4.56,14,39.5,123,4.3,6.82,
2014,Torrence Allen,West Texas A&M,WR,72,183,8.88,32.375,,4.41,15,40,129,4.56,7.14,
2014,Dri Archer,Kent State (OH),WR,67.75,173,8.88,31,,4.26,20,38,122,4.06,6.86,
2014,Odell Beckham,Louisiana State,WR,71.25,198,10,32.75,,4.43,7,38.5,122,3.94,6.69,10.93
2014,Kelvin Benjamin,Florida State,WR,77,240,10.25,34.88,7,4.61,13,32.5,117,4.39,7.33,12.08
2014,Chris Boyd,Vanderbilt,WR,76,206,9.63,32.63,,4.73,12,,,,,
2014,Corey Brown,Ohio State,WR,71.38,178,9.38,31.75,,4.51,,33,115,4.22,7.16,11.94
2014,John Brown,Pittsburg State (KS),WR,70,179,8.5,30.5,,4.34,8,36.5,117,4.12,6.91,11.4
2014,Martavis Bryant,Clemson,WR,75.75,211,9.5,32.63,14,4.42,16,39,123,4.15,7.18,
2014,Isaiah Burse,Frenso State (CA),WR,70.38,188,8.38,30.25,,4.58,16,31,114,3.94,6.74,11.53
2014,Trey Burton,Florida,WR,74.13,224,9.38,31,,4.62,,30,111,4.32,7.14,
2014,Michael Campanaro,Wake Forest,WR,69.38,192,9.75,30,,4.46,20,39,122,4.01,6.77,
2014,Brandon Coleman,Rutgers,WR,78,225,9.25,34,,4.56,21,32.5,,4.51,7.33,
2014,Kain Colter,Northwestern,WR,70.5,198,10,31,,4.71,11,,,4.2,6.68,
2014,Brandin Cooks,Oregon State,WR,69.75,189,9.63,30.75,,4.33,16,36,120,3.81,6.76,10.72
2014,Damian Copeland,Louisville,WR,71,184,9,31.38,,4.5,12,40,120,3.9,6.53,10.84
2014,Mike Davis,Texas,WR,72,197,9.38,30.25,,4.52,10,34,116,4.18,7,11.65
2014,Bruce Ellington,South Carolina,WR,69.38,197,9.63,31,,4.45,15,39.5,120,3.95,6.69,11.12
2014,Quincy Enunwa,Nebraska,WR,74,225,9.5,32.63,,4.41,19,,,,,
2014,Mike Evans,Texas A&M,WR,76.75,231,9.63,35.13,25,4.53,12,37,,4.26,7.08,11.58
2014,Shaquelle Evans,UCLA,WR,73.25,213,9.38,32,,4.51,13,34.5,122,4.21,7.07,
2014,Bennie Fowler,Michigan State,WR,73.25,217,9.5,32,,4.52,18,36,125,4.18,7.06,11.52
2014,Austin Franklin,New Mexico State,WR,70.63,189,10,31.25,,4.56,7,36,123,4.33,7.07,11.7
2014,Jeremy Gallon,Michigan,WR,67.5,185,9.38,29.5,,4.49,15,39.5,130,4.26,7.07,
2014,Ryan Grant,Tulane (LA),WR,72.38,199,9.63,31,,4.64,8,35.5,117,4.11,6.68,11.63
2014,Matt Hazel,Coastal Carolina (SC),WR,73,198,9.13,31.38,,4.5,15,36.5,116,4.2,7.08,11.6
2014,Robert Herron,Wyoming,WR,69.13,193,9.75,30.5,,4.48,18,35.5,124,4.27,6.84,
2014,Cody Hoffman,Brigham Young,WR,75.88,223,9.75,33.25,,4.65,13,27.5,108,4.2,6.89,
2014,Josh Huff,Oregon,WR,71.25,206,9.38,31.25,,4.51,14,35.5,115,4.12,6.96,
2014,Allen Hurns,Miami (FL),WR,73.25,198,9.25,32,,4.55,14,31,120,4.5,7.23,
2014,Jeff Janis,Saginaw Valley State (MI),WR,74.88,219,9,32.5,,4.42,20,37.5,123,3.98,6.64,
2014,T.J. Jones,Notre Dame,WR,71.63,188,10,30.625,,4.48,,33,117,4.27,6.82,
2014,Jarvis Landry,Louisiana State,WR,71.5,205,10.25,31.75,,4.65,12,28.5,110,4.59,7.56,
2014,Cody Latimer,Indiana,WR,74.5,215,9.63,32.63,,4.52,23,39,,,,
2014,Marqise Lee,Southern California,WR,71.75,192,9.5,31.75,,4.52,11,38,126,4.01,6.96,
2014,Marcus Lucas,Missouri,WR,75.75,218,9.38,33.63,,4.6,20,36,123,4.25,7.07,
2014,Jordan Matthews,Vanderbilt,WR,75.13,212,10.38,33.25,29,4.46,21,35.5,120,4.18,6.95,11.84
2014,Donte Moncrief,Mississippi,WR,74.38,221,9.13,32.38,,4.4,13,39.5,132,4.3,7.02,
2014,Kevin Norwood,Alabama,WR,74,198,10,32.13,,4.48,8,33,121,4.32,6.68,11.46
2014,Walter Powell,Murray State (KY),WR,71.38,189,9.5,31.625,,4.63,10,31.5,120,4.23,6.7,
2014,Tevin Reese,Baylor,WR,70.5,163,8.63,31.63,,4.46,,41,132,4.18,6.63,
2014,Paul Richardson,Colorado,WR,72.38,175,8.88,32.63,,4.4,,38,123,4.23,7.09,
2014,Allen Robinson,Penn State,WR,74.63,220,9.5,32,,4.6,,39,126,4,7,11.36
2014,Jalen Saunders,Oklahoma,WR,68.88,165,8.88,30,,4.44,,34,122,4.34,7.29,
2014,Willie Snead,Ball State (IN),WR,71,195,10.25,33,,4.62,11,33.5,112,4.39,7.19,11.96
2014,Josh Stewart,Oklahoma State,WR,69.88,178,9.38,30,,4.69,11,35,116,4.33,7.1,
2014,Devin Street,Pittsburgh,WR,74.88,198,9.25,33.38,,4.55,,37,123,4.01,6.89,
2014,L'Damian Washington,Missouri,WR,75.88,195,9,33.38,,4.46,8,32,114,4.35,7.19,
2014,Sammy Watkins,Clemson,WR,72.75,211,9.63,32,,4.43,16,34,125,4.34,6.95,
2014,Albert Wilson,Georgia State,WR,69.38,202,9.13,30.38,,4.43,10,37.5,123,4.21,7,
